"Name","Component","Description","Value","Side","THD-DNP","Position X","Position Y","Rotation"
"D5","1N4148","","","Top","","-6.9500","-11.4500","180.00"
"D6","1N4148","","","Top","","-4.7000","-6.8500","90.00"
"D7","1N4148","","","Top","","-90.4500","9.5500","180.00"
"D10","1N4148","","","Top","","-78.8000","27.8500","270.00"
"P2","3WP","3 way Pin Header","","Top","THD","13.6000","-13.6500","270.00"
"P3","3WP","3 way Pin Header","","Top","THD","13.6000","13.6500","270.00"
"P7","3WP","3 way Pin Header","","Top","THD","-69.9000","7.3500","270.00"
"P11","3WP","3 way Pin Header","","Top","THD","-69.9000","34.6500","270.00"
"P4","4-2WP","4 way Pin Header","","Bottom","DNP","3.8200","-13.5000","270.00"
"P5","4-2WP","4 way Pin Header","","Bottom","DNP","-3.8000","13.5000","90.00"
"P8","4-2WP","4 way Pin Header","","Bottom","DNP","-79.6800","7.5000","270.00"
"P9","4-2WP","4 way Pin Header","","Bottom","DNP","-87.3000","34.5000","90.00"
"P1","4WP","4 way Pin Header","Molex22-05-2041","Bottom","DNP","-6.7500","-13.7000","270.00"
"P6","4WP","4 way Pin Header","Molex22-05-2041","Top","DNP","-7.6000","-5.0000","270.00"
"P10","4WP","4 way Pin Header","Molex22-05-2041","Top","DNP","-75.9000","26.0000","90.00"
"P12","4WP","4 way Pin Header","Molex22-05-2041","Bottom","DNP","-90.2500","7.3000","270.00"
"C2","C","Capacitor","2n2","Top","","-14.5000","-11.2500","0.00"
"C3","C","Capacitor","2n2","Top","","1.4000","4.5500","270.00"
"C4","C","Capacitor","2n2","Top","","11.8000","-11.9500","270.00"
"C5","C","Capacitor","2n2","Top","","-71.7000","9.0500","270.00"
"C6","C","Capacitor","1u0","Top","","-16.5500","3.9500","270.00"
"C7","C","Capacitor","1u0","Top","","-14.0500","0.8500","0.00"
"C8","C","Capacitor","1u0","Top","","-4.1000","10.5000","0.00"
"C9","C","Capacitor","1u0","Top","","1.6500","-7.3500","90.00"
"C10","C","Capacitor","1u0","Top","","-66.9500","17.0500","90.00"
"C11","C","Capacitor","1u0","Top","","-69.4500","20.1500","180.00"
"C12","C","Capacitor","2n2","Top","","-98.0000","9.7500","0.00"
"C14","C","Capacitor","1u0","Top","","-87.6000","31.5000","0.00"
"C15","C","Capacitor","1u0","Top","","-81.8500","13.6500","90.00"
"C16","C","Capacitor","2n2","Top","","-84.9000","16.4500","90.00"
"D1","DIODE 2010","","CGRA4007-G","Top","","16.2000","4.7500","270.00"
"D3","DIODE 2010","","CGRA4007-G","Top","","-99.7000","16.2500","90.00"
"U4","Dual Inverter","","74LVC2G04DW-7","Top","","-1.9500","11.0500","270.00"
"U7","Dual Inverter","","74LVC2G04DW-7","Top","","-85.4500","32.0500","270.00"
"F1","FUSE IEC","","1.25A","Top","","16.2000","-4.2500","270.00"
"F2","FUSE IEC","","1.25A","Top","","-99.7000","25.2500","90.00"
"U3","IR RECEIVER","","TSDP34156","Top","DNP","0.0500","-9.0000","90.00"
"U6","IR RECEIVER","","TSDP34156","Top","DNP","-83.4500","12.0000","90.00"
"D2","LED","","SML-D12Y1WT86","Top","","-16.0000","-11.2500","90.00"
"D4","LED","","LTE-302","Top","DNP","0.0000","9.0000","270.00"
"D8","LED","","SML-D12M1WT86","Top","","16.0000","-11.0000","315.00"
"D9","LED","","LB Q39G-L2OO-35-1","Top","","16.0000","11.0000","270.00"
"D11","LED","","SML-D12Y1WT86","Top","","-99.5000","9.7500","90.00"
"D12","LED","","LTE-302","Top","DNP","-83.5000","30.0000","270.00"
"D13","LED","","SML-D12M1WT86","Top","","-67.5000","10.0000","315.00"
"D14","LED","","LB Q39G-L2OO-35-1","Top","","-67.5000","32.0000","270.00"
"D16","LED","","SML-D12U1WT86","Top","","-16.0000","11.0000","90.00"
"D17","LED","","SML-D12U1WT86","Top","","-99.5000","32.0000","90.00"
"U1","MSP430G2553IPW20","MSP430 Ultra-Low Power Microcontroller","MSP430G2553IPW20","Top","","-9.8000","0.0000","90.00"
"U8","MSP430G2553IPW20","MSP430 Ultra-Low Power Microcontroller","MSP430G2553IPW20","Top","","-73.7000","21.0000","270.00"
"Q1","NMOS SMD","MOSFET","RTR030N05TL","Top","","-9.4500","-7.9000","270.00"
"Q2","NMOS SMD","MOSFET","RTR030N05TL","Top","","-74.0500","28.9000","90.00"
"OP1","OPTO","","TLP293(GR-TPL,E","Top","","6.3500","-11.0500","90.00"
"OP2","OPTO","","TLP293(GR-TPL,E","Top","","-77.1500","9.9500","90.00"
"SG1","PIEZO_SMD","","4 kHz peak","Top","THD","0.0000","0.0000","270.00"
"SG2","PIEZO_SMD","","4 kHz peak","Top","THD","-83.5000","21.0000","90.00"
"B1","R","Resistor","2181 lamp","Bottom","DNP","-13.4500","-9.9000","45.00"
"B2","R","Resistor","2181 lamp","Bottom","DNP","-96.9500","11.1000","45.00"
"R2","R","Resistor","237k 0.1%","Top","","-15.0500","-2.3000","270.00"
"R3","R","Resistor","237k 0.1%","Top","","-68.4500","23.3000","90.00"
"R3a","R","Resistor","150k 0.1%","Top","","13.3500","4.2000","180.00"
"R3b","R","Resistor","150k 0.1%","Top","","13.3500","0.0000","180.00"
"R3c","R","Resistor","150k 0.1%","Top","","13.3500","-4.2000","180.00"
"R3d","R","Resistor","150k 0.1%","Top","","-96.8500","25.2000","0.00"
"R3e","R","Resistor","150k 0.1%","Top","","-96.8500","21.0000","0.00"
"R3f","R","Resistor","150k 0.1%","Top","","-96.8500","16.8000","0.00"
"R4a","R","Resistor","150k 0.1%","Top","","11.2000","4.2000","180.00"
"R4b","R","Resistor","150k 0.1%","Top","","11.2000","0.0000","180.00"
"R4c","R","Resistor","150k 0.1%","Top","","11.2000","-4.2000","180.00"
"R4d","R","Resistor","150k 0.1%","Top","","-94.7000","25.2000","0.00"
"R4e","R","Resistor","150k 0.1%","Top","","-94.7000","21.0000","0.00"
"R4f","R","Resistor","150k 0.1%","Top","","-94.7000","16.8000","0.00"
"R5","R","Resistor","82R","Top","","8.4500","11.9000","270.00"
"R6","R","Resistor","510R","Top","","-4.0500","-2.8000","270.00"
"R7","R","Resistor","237k 0.1%","Top","","-13.5500","6.5500","90.00"
"R8","R","Resistor","237k 0.1%","Top","","-17.3000","-5.2500","0.00"
"R9","R","Resistor","237k 0.1%","Top","","-16.2000","7.3500","0.00"
"R10","R","Resistor","47k","Top","","-12.3000","-12.1500","270.00"
"R11","R","Resistor","750k","Top","","-9.2000","-12.1500","90.00"
"R12","R","Resistor","510R","Top","","-79.4500","23.8000","90.00"
"R13","R","Resistor","82R","Top","","-16.2000","-8.8500","270.00"
"R14","R","Resistor","510R","Top","","2.0000","2.3500","180.00"
"R15","R","Resistor","47k","Top","","-12.9000","-7.2500","90.00"
"R16","R","Resistor","39R","Top","","13.6500","10.4500","270.00"
"R17","R","Resistor","5k9 1%","Top","","-3.8500","-5.4000","270.00"
"R18","R","Resistor","5k1 1%","Top","","-3.8500","-4.1000","270.00"
