"Report Written:","Monday, April 03, 2017"
"Design Path:","C:\Users\David\Documents\EV\LyteFyba\trunk\PCB\MidCMU.pcb"
"Design Title:",
"Created:","2/03/2012 9:46:00 AM"
"Last Saved:","3/04/2017 6:15:34 PM"
"Editing Time:","177327 min"
"Units:","mm (precision 4)"

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","THD-DNP","Component","Description","Value","Package","Manufacturer","MPN","Digikey","Mouser"
"D5","1","","1N4148","","","SOD523","Micro Commercial Co","1N4148X-TP","http://www.digikey.com.au/product-detail/en/micro-commercial-co/1N4148X-TP/1N4148XTPMSCT-ND/789335","http://au.mouser.com/ProductDetail/Micro-Commercial-Components-MCC/1N4148X-TP/?qs=%2fha2pyFadujO5eTWjIil0VIY%2fHXnog7lKFGauxvGomE%3d"
"D6","1","","1N4148","","","SOD523","Micro Commercial Co","1N4148X-TP","http://www.digikey.com.au/product-detail/en/micro-commercial-co/1N4148X-TP/1N4148XTPMSCT-ND/789335","http://au.mouser.com/ProductDetail/Micro-Commercial-Components-MCC/1N4148X-TP/?qs=%2fha2pyFadujO5eTWjIil0VIY%2fHXnog7lKFGauxvGomE%3d"
"P2","1","THD","3WP","3 way Pin Header","","DSC","Wurth","61300311121","http://www.digikey.com.au/products/en?keywords=61300311121","http://au.mouser.com/ProductDetail/Wurth-Electronics/61300311121/?qs=sGAEpiMZZMs%252bGHln7q6pm%2fFhW%252btWvhAgp1HW14BJe4tnlZa05APV3w%3d%3d"
"P3","1","THD","3WP","3 way Pin Header","","DSC","Wurth","61300311121","http://www.digikey.com.au/products/en?keywords=61300311121","http://au.mouser.com/ProductDetail/Wurth-Electronics/61300311121/?qs=sGAEpiMZZMs%252bGHln7q6pm%2fFhW%252btWvhAgp1HW14BJe4tnlZa05APV3w%3d%3d"
"P4","1","DNP","4-2WP","4 way Pin Header","","DSC","","","http://www.digikey.com.au/product-detail/en/640453-4/A1917-ND/108991",""
"P5","1","DNP","4-2WP","4 way Pin Header","","DSC","","","http://www.digikey.com.au/product-detail/en/640453-4/A1917-ND/108991",""
"P1","1","DNP","4WP","4 way Pin Header","Molex22-05-2041","DSC","","","http://www.digikey.com.au/scripts/DkSearch/dksus.dll?vendor=0&keywords=WM4102-ND",""
"P6","1","DNP","4WP","4 way Pin Header","Molex22-05-2041","DSC","","","http://www.digikey.com.au/scripts/DkSearch/dksus.dll?vendor=0&keywords=WM4102-ND",""
"C6","1","","C","Capacitor","1u0","M1608","Samsung","CL10B105MO8NNWC","http://www.digikey.com.au/product-detail/en/samsung-electro-mechanics-america-inc/CL10B105MO8NNWC/1276-6524-1-ND/5961383","http://au.mouser.com/ProductDetail/Murata-Electronics/GRM188R71C105KA12J/?qs=sGAEpiMZZMs0AnBnWHyRQHSMLfoHgeTXtFMyKTepccg%3d"
"C7","1","","C","Capacitor","1u0","M1608","Samsung","CL10B105MO8NNWC","http://www.digikey.com.au/product-detail/en/samsung-electro-mechanics-america-inc/CL10B105MO8NNWC/1276-6524-1-ND/5961383","http://au.mouser.com/ProductDetail/Murata-Electronics/GRM188R71C105KA12J/?qs=sGAEpiMZZMs0AnBnWHyRQHSMLfoHgeTXtFMyKTepccg%3d"
"C8","1","","C","Capacitor","1u0","M1608","Samsung","CL10B105MO8NNWC","http://www.digikey.com.au/product-detail/en/samsung-electro-mechanics-america-inc/CL10B105MO8NNWC/1276-6524-1-ND/5961383","http://au.mouser.com/ProductDetail/Murata-Electronics/GRM188R71C105KA12J/?qs=sGAEpiMZZMs0AnBnWHyRQHSMLfoHgeTXtFMyKTepccg%3d"
"C9","1","","C","Capacitor","1u0","M1608","Samsung","CL10B105MO8NNWC","http://www.digikey.com.au/product-detail/en/samsung-electro-mechanics-america-inc/CL10B105MO8NNWC/1276-6524-1-ND/5961383","http://au.mouser.com/ProductDetail/Murata-Electronics/GRM188R71C105KA12J/?qs=sGAEpiMZZMs0AnBnWHyRQHSMLfoHgeTXtFMyKTepccg%3d"
"C4","1","","C","Capacitor","2n2","M1608","Samsung","CL10B222KB8WPNC","http://www.digikey.com.au/product-detail/en/samsung-electro-mechanics-america-inc/CL10B222KB8WPNC/1276-6530-1-ND/5961389","http://au.mouser.com/ProductDetail/Wurth-Electronics/885012206085/?qs=sGAEpiMZZMs0AnBnWHyRQEGbLOF2VP1iLYTCVY68dgJhe7C4%252bkukRA%3d%3d"
"C2","1","","C","Capacitor","2n2","M1608","Samsung","CL10B222KB8WPNC","http://www.digikey.com.au/product-detail/en/samsung-electro-mechanics-america-inc/CL10B222KB8WPNC/1276-6530-1-ND/5961389","http://au.mouser.com/ProductDetail/Wurth-Electronics/885012206085/?qs=sGAEpiMZZMs0AnBnWHyRQEGbLOF2VP1iLYTCVY68dgJhe7C4%252bkukRA%3d%3d"
"C3","1","","C","Capacitor","2n2","M1608","Samsung","CL10B222KB8WPNC","http://www.digikey.com.au/product-detail/en/samsung-electro-mechanics-america-inc/CL10B222KB8WPNC/1276-6530-1-ND/5961389","http://au.mouser.com/ProductDetail/Wurth-Electronics/885012206085/?qs=sGAEpiMZZMs0AnBnWHyRQEGbLOF2VP1iLYTCVY68dgJhe7C4%252bkukRA%3d%3d"
"D1","1","","DIODE 2010","","CGRA4007-G","SM","Comchip Technology","CGRA4007-G","http://www.digikey.com.au/product-detail/en/CGRA4007-G/641-1018-1-ND/1121140","http://au.mouser.com/ProductDetail/Comchip-Technology/CGRA4007-G/?qs=sGAEpiMZZMtbRapU8LlZDzb2vieQGAeGaKsOmus2Q3I%3d"
"U4","1","","Dual Inverter","","74LVC2G04DW-7","SOT363","Diodes Inc","74LVC2G04DW-7","http://www.digikey.com.au/product-detail/en/diodes-incorporated/74LVC2G04DW-7/74LVC2G04DW-7DICT-ND/4505236","http://au.mouser.com/ProductDetail/Diodes-Incorporated/74LVC2G04DW-7/?qs=%2fha2pyFadui%252bHdhyoqS2pCc2HHkkLVP02X0d%252bEXWAiwdSrUoWqx9Lg%3d%3d"
"F1","1","","FUSE IEC","","1.25A","2410","Bell Fuse Inc","SSQ 1.25","http://www.digikey.com.au/product-detail/en/SSQ%201.25/507-1046-1-ND/615027","http://au.mouser.com/ProductDetail/Bel-Fuse/SSQ-125-1K/?qs=sGAEpiMZZMtxU2g%2f1juGqUe1nfAlZffAGKJdyyU3IpdlJiUpwgLymg%3d%3d"
"U3","1","DNP","IR RECEIVER","","TSDP34156","MISC","","","http://www.digikey.com.au/product-search/en?vendor=0&keywords=tsdp34156&stock=1","http://au.mouser.com/ProductDetail/Vishay/TSDP34156/?qs=%2fha2pyFadui%252buA3gMXjhndsEzFdkLfphPvorWFmte279cEa7eB7mwA%3d%3d"
